year,month,day,cruise,station,depth_m,temp_C,sal_PSU,density_kg_m-3,PAR,fluor_mg_m-3,turbidity_NTU,O2conc_umol_kg-1,O2sat_percent,pH
2024,9,5,1,1,0.78,16.8495,31.3065,22.7164,1.40E+03,0.9783,1.1572,200.339,81.712,8.024
2024,9,5,1,1,0.787,16.8444,31.3016,22.7138,1.70E+03,0.9838,1.1543,200.69,81.845,8.025
2024,9,5,1,1,0.789,16.8368,31.3022,22.716,1.67E+03,1.0066,1.1543,200.575,81.786,8.027
2024,9,5,1,1,0.79,16.8294,31.3028,22.7182,1.79E+03,1.0112,1.1543,200.642,81.802,8.029
2024,9,5,1,1,0.792,16.824,31.3023,22.719,1.64E+03,1.0515,1.1543,201.918,82.314,8.03
2024,9,5,1,1,0.791,16.8298,31.2936,22.711,1.66E+03,1.0506,1.1514,203.769,83.073,8.031
2024,9,5,1,1,0.79,16.8344,31.2908,22.7078,1.49E+03,1.0652,1.1079,206.081,84.021,8.031
2024,9,5,1,1,0.791,16.8355,31.2916,22.7082,1.56E+03,1.0652,1.105,207.879,84.756,8.032
2024,9,5,1,1,0.796,16.8384,31.2901,22.7064,1.43E+03,1.1147,1.1456,208.62,85.062,8.032
2024,9,5,1,1,0.801,16.8421,31.289,22.7047,1.55E+03,1.1238,1.1543,208.348,84.957,8.032
2024,9,5,1,1,0.803,16.8306,31.2989,22.7149,1.66E+03,1.1733,1.1514,208.059,84.826,8.032
2024,9,5,1,1,0.807,16.8354,31.2899,22.7069,1.61E+03,1.1916,1.1543,208.246,84.905,8.032
2024,9,5,1,1,0.802,16.8369,31.2907,22.7072,1.70E+03,1.209,1.1253,208.661,85.077,8.032
2024,9,5,1,1,0.8,16.8339,31.2935,22.71,1.53E+03,1.22,1.1079,208.784,85.124,8.032
2024,9,5,1,1,0.8,16.8424,31.2858,22.7022,1.46E+03,1.2337,1.1514,208.351,84.957,8.032
2024,9,5,1,1,0.805,16.8504,31.2849,22.6996,1.65E+03,1.2493,1.2007,208.701,85.112,8.032
2024,9,5,1,1,0.811,16.8529,31.288,22.7014,1.28E+03,1.2438,1.1833,210.366,85.797,8.032
2024,9,5,1,1,0.812,16.8336,31.3002,22.7152,1.65E+03,1.2355,1.1543,212.527,86.654,8.033
2024,9,5,1,1,0.807,16.8326,31.2923,22.7094,1.30E+03,1.231,1.1543,214.204,87.331,8.032
2024,9,5,1,1,0.805,16.8431,31.2851,22.7014,1.51E+03,1.22,1.1543,214.666,87.532,8.032
2024,9,5,1,1,0.806,16.8431,31.2897,22.7049,1.44E+03,1.2236,1.1572,214.859,87.614,8.033
2024,9,5,1,1,0.805,16.855,31.2803,22.6951,1.34E+03,1.2639,1.2007,214.718,87.571,8.032
